cornyield_smooth1960,cornyield_smooth2000
28.4,52.599998
40.400002,
27,
29.6,
31,95.199997
24.4,
28.6,47.799999
29.799999,
22.799999,
30.6,83.199997
29,
27,
27.4,
23.799999,
25.6,
26.6,
28.4,113.4
28.200001,
25.4,
27.200001,
27.200001,
32,97.599998
27.799999,54.799999
27,73
32.599998,91.199997
27.799999,71.199997
32.200001,
31,
28.200001,72.599998
27.200001,
29.200001,
23.799999,
24.200001,
29,
29.4,
33.200001,
31,
25.4,
28,96.599998
27.799999,111.2
23.6,
37.400002,104.4
24.4,64.800003
22.6,
29,99.400002
23.799999,
26.799999,
32.200001,88.599998
34.799999,78.599998
30,
25.200001,
28.200001,94.800003
27,
24.200001,
26,77.599998
24.4,
22.799999,
26,
26.799999,
22.799999,
24.4,
23.4,
26.200001,81
28.799999,
30,56
26,
28.6,
,
,198.2
,
,
,186.42
,
,
,172.94
,
,
,
,177.2
,
,
,190.95999
,
,
,
,
,
,
,
,
,
,
,132.88
,
,
,
,
,114.2
,
,
,
,
,
,
,
,
,
,
,
,124.88
,
,
,
,123.8
,
,142.48
,
,
,
,
,
,
,
,
,
,
,
,90.019997
,136.88
,144.60001
,
,
,
,
,
,
,
,
,
,
,
,
,136.25999
,
,
,
,
,
,
,
,
,
,
,
,
,130.06
,
,
,
,
,
,
,147.89999
,134.8
,
,
,162.66
,196.25999
,
,179.53999
,
,163.94
,174.84
,
,
,
,172.16
,
,
,
,172.36
,
,
,
,
,
,
,
,
,146.62
,156.86
,
,0
,
,163.45999
,
,
,0
,
,
,
,
,
,169.82001
,
,138.8
,174.32001
,175.42
,180.82001
,
,
,178.48
,
,104.4
,
,76.5
,
,163.3
,142.89999
,131.39999
,
,108.2
,
,
,115.7
,
,168.7
,
,
,
,
,48
,
,
,
,
,
,
,
,
,61.400002
,121.2
,
,
,135.8
,
,80.699997
,122.4
,145.3
,
,
,161.5
,160
,155.60001
,
,
,127.4
,
,150.39999
,176
,
,
,
,
,
,124
,
,103.9
,156.8
,173
,
,
,
,
,
,
,
,
59.5,117.5
64.580002,86.980003
58.759998,121.44
,72.260002
,
,
,
,
,
,84.339996
,
,
,
,
,70.279999
,
,
,
,83.479996
,
,81.199997
,69.400002
,
,
,90.519997
,
,
,
,
,
,86.559998
,
,98.919998
,73.82
,80.959999
,
,
,
,68.5
,
,73.720001
,
,
,
,
,
,78.800003
,
,
,
,
,
,
,
,
,
,73.519997
,
,
,
,84.379997
,
,
,
,
,82.260002
,85.260002
29.76,52.5
34.119999,92.519997
31.6,68.860001
28.1,163.12
24.58,
23.559999,
22.48,
29.559999,105.58
30.799999,107.26
34.200001,87.800003
32.580002,
27.559999,117.18
35.119999,56.200001
32,96.639999
36.200001,57.200001
34.540001,66.760002
26.120001,89.360001
26.139999,
35.239998,145.46001
31.459999,
26.719999,
27.42,
40.720001,
27.799999,
28.699999,
17.440001,
28.92,72.139999
32.82,
28.6,
32.82,
22.24,
31.440001,
25.379999,
33.560001,106.4
35.82,105.1
19.76,
33.16,75.339996
28.879999,
24.68,
29.699999,78.800003
33.48,
33.380001,
32.200001,131.24001
27.040001,
23.92,100.54
27.780001,78.400002
29.860001,155.44
24.66,
35.860001,138.8
29.58,
28.280001,62.299999
23.219999,
25.68,73
37.040001,69
41.599998,
26.779999,
31.719999,89.699997
28.540001,
25.92,
28.68,
40.16,
20.780001,
22.84,
29.74,106.46
36.18,89.379997
18.960001,
25.299999,
34.84,
27.5,
19.280001,
22.9,
21.040001,
25.940001,
25.360001,
27.68,
37.34,114.78
34.200001,98.620003
24.360001,
27.059999,
29.84,97.800003
27.08,163.66
26.9,91
21.620001,89
23.059999,
29.32,
31.799999,72.260002
27.299999,87.959999
33.720001,138.5
25.92,
20.68,
31.300001,
29.640001,63.299999
39.959999,
20.459999,
27,
31.98,97.599998
24.719999,
22.860001,70.68
28.440001,
28.559999,140.60001
32.759998,156.8
25.08,
24.76,57.66
24.280001,
