cornyield_smooth1980,cornyield_smooth2000,Cluster
35.720001,52.599998,0
94.980003,,0
45.34,,0
,,0
48.060001,95.199997,0
32.959999,,0
43.380001,47.799999,0
45.259998,,0
,,0
50.139999,83.199997,0
31.48,,0
38.779999,,0
45.939999,,0
32.400002,,1
42.720001,,1
44.700001,,0
47.920002,113.4,0
54.579998,,0
,,0
41.82,,0
46.779999,,0
40.919998,97.599998,0
45.34,54.799999,0
38.82,73.0,0
48.52,91.199997,1
33.34,71.199997,0
69.720001,,0
51.619999,,0
36.540001,72.599998,0
48.959999,,0
47.220001,,0
38.02,,0
40.880001,,0
47.119999,,0
56.18,,0
51.720001,,1
,,0
45.959999,,0
62.880001,96.599998,0
46.439999,111.2,0
30.960001,,0
66.839996,104.4,0
41.02,64.800003,0
29.58,,0
62.560001,99.400002,1
46.599998,,0
51.119999,,0
50.380001,88.599998,1
78.120003,78.599998,0
63.959999,,0
43.220001,,0
41.52,94.800003,0
38.52,,0
45.700001,,0
49.419998,77.599998,0
47.119999,,0
41.919998,,0
,,0
,,0
48.84,,0
43.18,,0
35.880001,,0
34.400002,81.0,0
38.220001,,0
52.260002,56.0,0
50.580002,,0
39.939999,,0
,,1
,198.2,0
,,1
,,0
,186.42,0
,,0
,,0
,172.94,0
,,0
,,1
,,0
,177.2,0
,,0
,,0
,190.95999,0
,,0
57.400002,,0
,,0
59.0,,1
,,1
,,0
41.599998,,0
,,1
55.799999,,0
,,0
75.599998,132.88,0
,,0
,,0
,,0
51.400002,,0
64.0,114.2,0
55.400002,,0
,,0
64.199997,,0
,,0
66.199997,,0
,,0
,,0
,,0
,,1
,,0
,,0
64.199997,124.88,0
,,0
,,0
,,0
,123.8,0
,,0
68.599998,142.48,0
65.0,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,90.019997,0
65.800003,136.88,0
,144.60001,0
,,0
40.799999,,0
,,1
45.0,,0
,,0
,,0
,,0
66.0,,0
,,0
49.200001,,0
,,0
,,0
,136.25999,0
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,1
55.0,,0
,130.06,0
51.0,,0
,,1
,,1
,,0
133.18001,,0
,,0
132.46001,147.89999,0
111.74,134.8,1
,,1
,,1
94.620003,162.66,0
117.82,196.25999,0
,,1
,179.53999,0
,,0
94.260002,163.94,0
106.68,174.84,0
,,1
,,1
,,0
99.199997,172.16,0
,,1
,,0
,,1
114.88,172.36,0
,,1
,,1
126.8,,1
,,1
,,1
,,1
,,0
,,1
,146.62,0
138.7,156.86,1
,,1
,0.0,0
,,1
139.10001,163.45999,1
,,1
,,1
,0.0,1
,,1
,,1
,,0
,,1
,,1
130.34,169.82001,1
,,1
118.06,138.8,0
120.46,174.32001,0
109.36,175.42,0
111.38,180.82001,0
,,0
,,1
129.12,178.48,0
127.24,,0
114.9,104.4,1
,,1
,76.5,1
,,1
105.1,163.3,1
93.400002,142.89999,0
114.6,131.39999,1
,,1
108.9,108.2,1
,,1
,,1
77.900002,115.7,1
,,1
115.5,168.7,1
,,1
,,1
,,1
,,1
,48.0,1
66.599998,,1
,,1
95.0,,1
,,1
,,1
,,1
,,1
,,1
,61.400002,1
119.8,121.2,1
,,1
,,1
114.1,135.8,1
85.099998,,1
,80.699997,1
117.5,122.4,1
115.2,145.3,1
,,1
,,1
113.4,161.5,1
127.0,160.0,1
110.0,155.60001,0
,,1
,,1
127.6,127.4,1
,,1
112.9,150.39999,0
119.6,176.0,1
,,1
,,1
,,1
,,1
,,1
124.2,124.0,1
,,1
126.7,103.9,1
122.8,156.8,1
131.5,173.0,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
95.800003,117.5,1
97.919998,86.980003,1
84.300003,121.44,1
57.799999,72.260002,0
47.599998,,0
,,0
54.0,,0
,,0
,,0
,84.339996,0
,,0
,,0
,,0
,,0
40.0,70.279999,0
,,0
36.599998,,0
68.599998,,0
93.0,83.479996,0
,,0
81.400002,81.199997,0
41.0,69.400002,0
,,0
,,0
44.799999,90.519997,0
