prec_smooth1960,tavg_smooth1960,dday30C_smooth1960,prec_smooth1970,tavg_smooth1970,dday30C_smooth1970,prec_smooth1980,tavg_smooth1980,dday30C_smooth1980,prec_smooth1990,tavg_smooth1990,dday30C_smooth1990,prec_smooth2000,tavg_smooth2000,dday30C_smooth2000,Cluster
64.85569,24.030661,77.962677,61.320923,23.947968,71.810242,66.946632,24.023209,74.809959,64.532051,23.640768,66.469505,57.087627,24.229784,84.211136,1
93.78624,24.550625,55.915512,81.014442,24.874575,66.813835,97.862572,24.865362,64.367699,93.206871,24.358032,47.775978,87.592659,25.157261,74.815292,1
67.081459,23.961044,72.794762,63.725071,23.934336,69.833855,62.591663,24.018715,75.990158,63.034801,23.72961,65.32782,59.92144,23.950411,77.167137,1
61.882545,23.265858,69.972832,67.863609,23.234333,63.111607,70.317184,23.431904,76.076897,67.188812,23.117323,58.072453,59.424465,23.946259,83.469551,1
62.940414,22.20636,51.689674,66.359184,22.147327,41.371151,69.835373,22.490761,59.51759,67.535439,21.99155,37.410694,64.639816,23.015505,60.130741,1
65.618332,23.532827,64.03743,62.464462,23.473875,59.360287,63.154015,23.62829,66.415794,66.483353,23.392553,63.736095,58.653622,23.880308,77.594154,1
70.904251,24.08931,78.437019,64.373703,24.015081,78.164917,70.441048,24.052479,81.428078,70.323296,23.739927,69.615974,63.584389,24.358658,89.591705,1
60.061802,22.296576,53.986866,62.466095,22.09646,39.44022,68.957001,22.54142,59.249645,64.222282,21.983957,34.154274,58.269703,22.76528,53.696152,1
63.815155,22.91995,59.111019,67.65374,22.751825,48.508228,64.709938,22.951517,63.418461,68.769157,22.681067,54.050114,56.727867,23.095257,71.04068,1
60.487625,22.417072,57.049026,63.114693,22.22139,41.553375,69.323677,22.501314,60.320305,69.724709,21.994032,38.721062,62.577854,22.784512,56.628624,1
64.95224,23.183115,58.716,65.477188,23.206795,56.070129,69.949165,23.285637,64.529755,64.539185,22.887733,48.176231,60.87418,23.520027,66.35405,1
74.331017,23.845058,85.480247,62.62439,23.903833,82.098228,73.413452,24.055925,93.976471,71.711945,23.638674,67.075912,59.884418,24.235085,91.716003,1
77.317314,24.08416,84.395348,62.915337,24.243536,93.578972,79.333542,24.253328,96.693283,73.156273,23.64888,63.627563,68.344673,24.467648,93.23201,1
64.759483,21.828632,30.739286,65.968895,21.607883,22.06551,69.178017,21.890488,35.838223,65.830597,21.477577,23.045265,60.740799,22.175161,34.997604,3
63.833256,21.866701,40.173145,61.41832,21.651371,31.234657,67.302986,22.04348,48.456329,63.986916,21.626654,27.721273,61.338352,22.249477,42.75753,3
74.415398,24.312536,71.280815,69.322296,24.387688,78.485634,73.302132,24.389385,79.545639,70.877441,23.939022,64.058243,66.927132,24.395992,82.682266,1
58.895893,22.326483,53.795364,68.070145,22.422497,54.002338,68.903442,22.485302,60.64159,71.455658,22.335436,56.498833,57.969891,23.029774,64.376701,1
80.047676,23.966328,71.253807,69.379219,24.062815,80.587372,76.327179,24.149885,82.370117,79.096931,23.480452,55.423203,71.429337,24.315002,85.250099,1
62.942333,22.663668,53.84201,67.083588,22.509329,43.293823,69.356483,22.799433,56.563911,66.180206,22.300097,38.023647,59.378288,22.986147,57.077396,1
80.261681,24.099874,74.688141,71.207558,24.152454,81.74823,76.15963,24.1031,81.688652,78.921135,23.689064,66.081085,71.969032,24.340252,93.247063,1
71.206123,23.838095,73.280632,66.203323,23.89617,81.441383,68.932999,23.882378,82.593552,69.871429,23.563311,72.027779,64.416931,24.113575,89.645241,1
66.534264,22.092367,48.144611,68.235764,21.887888,34.608517,71.301506,22.169783,55.016468,71.493805,21.705877,37.69334,66.626976,22.931963,64.09906,1
71.317474,24.445082,77.590614,68.840187,24.491299,81.851578,68.704575,24.540764,83.300537,64.968102,24.170372,75.274445,61.64043,24.368956,91.194283,1
63.887276,23.978035,75.934288,60.150818,24.016586,74.891083,67.654434,23.92404,81.111832,61.610035,23.616062,63.029011,58.647961,24.262653,84.219841,1
63.314373,21.542795,28.267664,65.278648,21.436474,19.753807,66.030418,21.490595,35.227886,69.504036,21.033667,22.387953,62.537266,21.946241,32.812496,3
63.704075,23.644623,68.15876,62.995499,23.509993,60.989399,63.466633,23.647684,69.27269,65.763962,23.248625,56.863861,55.376438,23.833694,75.745338,1
