prec_smooth1980,tavg_smooth1980,dday30C_smooth1980,prec_smooth1990,tavg_smooth1990,dday30C_smooth1990,prec_smooth2000,tavg_smooth2000,dday30C_smooth2000,Cluster
66.946632,24.023209,74.809959,64.532051,23.640768,66.469505,57.087627,24.229784,84.211136,1
97.862572,24.865362,64.367699,93.206871,24.358032,47.775978,87.592659,25.157261,74.815292,1
62.591663,24.018715,75.990158,63.034801,23.72961,65.32782,59.92144,23.950411,77.167137,1
70.317184,23.431904,76.076897,67.188812,23.117323,58.072453,59.424465,23.946259,83.469551,1
69.835373,22.490761,59.51759,67.535439,21.99155,37.410694,64.639816,23.015505,60.130741,1
63.154015,23.62829,66.415794,66.483353,23.392553,63.736095,58.653622,23.880308,77.594154,1
70.441048,24.052479,81.428078,70.323296,23.739927,69.615974,63.584389,24.358658,89.591705,1
68.957001,22.54142,59.249645,64.222282,21.983957,34.154274,58.269703,22.76528,53.696152,1
64.709938,22.951517,63.418461,68.769157,22.681067,54.050114,56.727867,23.095257,71.04068,1
69.323677,22.501314,60.320305,69.724709,21.994032,38.721062,62.577854,22.784512,56.628624,1
69.949165,23.285637,64.529755,64.539185,22.887733,48.176231,60.87418,23.520027,66.35405,1
73.413452,24.055925,93.976471,71.711945,23.638674,67.075912,59.884418,24.235085,91.716003,1
79.333542,24.253328,96.693283,73.156273,23.64888,63.627563,68.344673,24.467648,93.23201,1
69.178017,21.890488,35.838223,65.830597,21.477577,23.045265,60.740799,22.175161,34.997604,1
67.302986,22.04348,48.456329,63.986916,21.626654,27.721273,61.338352,22.249477,42.75753,1
73.302132,24.389385,79.545639,70.877441,23.939022,64.058243,66.927132,24.395992,82.682266,1
68.903442,22.485302,60.64159,71.455658,22.335436,56.498833,57.969891,23.029774,64.376701,1
76.327179,24.149885,82.370117,79.096931,23.480452,55.423203,71.429337,24.315002,85.250099,1
69.356483,22.799433,56.563911,66.180206,22.300097,38.023647,59.378288,22.986147,57.077396,1
76.15963,24.1031,81.688652,78.921135,23.689064,66.081085,71.969032,24.340252,93.247063,1
68.932999,23.882378,82.593552,69.871429,23.563311,72.027779,64.416931,24.113575,89.645241,1
71.301506,22.169783,55.016468,71.493805,21.705877,37.69334,66.626976,22.931963,64.09906,1
68.704575,24.540764,83.300537,64.968102,24.170372,75.274445,61.64043,24.368956,91.194283,1
67.654434,23.92404,81.111832,61.610035,23.616062,63.029011,58.647961,24.262653,84.219841,1
66.030418,21.490595,35.227886,69.504036,21.033667,22.387953,62.537266,21.946241,32.812496,1
63.466633,23.647684,69.27269,65.763962,23.248625,56.863861,55.376438,23.833694,75.745338,1
83.763832,24.467394,82.43325,86.962303,23.848629,57.161293,75.79895,24.687157,88.786049,1
67.726463,22.494425,55.058552,66.465691,21.98126,34.824135,61.638012,22.863054,54.285675,1
69.502953,22.732128,72.994896,70.104317,22.224171,59.09343,65.025192,23.180405,78.59639,1
71.45919,22.214567,53.156494,73.441803,21.888964,42.687653,63.801136,22.766535,58.193199,1
74.020615,24.510094,84.127632,74.201088,24.173916,72.950737,68.321159,24.483749,88.98513,1
66.05172,23.871681,87.546715,65.106117,23.535894,68.769272,54.052895,24.24519,91.298714,1
65.075539,23.945053,92.02301,65.575378,23.657402,76.259537,53.827103,24.474167,95.389633,1
67.718567,24.547228,86.631607,62.127151,24.203337,80.710083,59.49575,24.305,97.946243,1
70.060654,24.661957,85.159866,68.379555,24.447256,83.025398,62.768909,24.58481,95.582924,1
65.730476,21.574394,37.95026,71.045418,21.17058,28.806349,65.72258,22.022799,39.24371,1
69.676918,23.120667,73.354446,65.863586,22.6485,51.195305,66.681442,23.663774,80.470116,1
70.825142,22.909185,75.121208,70.950241,22.308994,57.761375,64.944656,23.355375,84.388786,1
69.252281,22.234077,57.114895,72.338707,21.975,50.162106,59.989708,22.704636,59.047756,1
68.472244,22.574108,58.546669,69.637589,22.378143,52.015614,60.18914,23.228109,67.923279,1
63.59259,23.479429,70.868034,68.526337,23.048157,53.185863,52.996143,23.551996,68.554886,1
68.268661,22.157953,49.477131,68.301079,21.904688,44.85516,60.829647,22.746717,58.820282,1
64.693359,24.114626,77.460281,63.829918,23.753584,72.008423,55.559307,24.314806,87.524536,1
62.332344,23.709305,72.444847,66.809402,23.364943,61.618042,55.849796,23.886948,77.99823,1
66.842873,21.957455,42.875111,68.171921,21.661245,39.2995,63.585754,22.447111,49.851776,1
66.967949,23.96339,87.4515,67.230759,23.697866,71.618729,55.555828,24.353783,88.773521,1
71.419518,22.281916,58.419968,74.08989,21.866056,46.616085,67.342392,22.767927,64.21521,1
67.201111,22.437063,52.686733,67.087891,21.924204,34.162792,61.877426,22.778685,49.817486,1
101.32086,25.037161,73.543442,89.303741,24.411291,51.298077,84.336586,25.137533,74.284843,1
79.240349,24.297085,83.432083,78.512512,23.659128,54.259483,70.769814,24.4848,84.216393,1
62.900799,24.142393,75.581512,65.69912,23.806505,73.006744,55.12846,24.304075,87.033096,1
68.705147,22.295595,54.142315,68.701057,22.007282,45.717525,61.962021,22.958309,64.07653,1
66.082222,23.758966,81.676994,64.592552,23.521025,63.082981,55.617153,24.231133,84.408714,1
68.306458,23.81669,89.621033,64.888794,23.281216,68.711487,55.900219,24.178413,99.9589,1
65.071159,23.999485,77.766563,67.663002,23.706738,67.282242,63.825386,24.192305,84.229652,1
65.382988,22.322622,56.336678,64.712479,21.964518,37.340359,58.522243,22.529957,54.237759,1
59.403301,23.80615,85.741547,62.293026,23.449047,69.538452,49.836231,23.770851,81.468987,1
69.882362,22.533667,58.989418,62.22554,21.992287,35.911007,65.743286,22.892048,57.96146,1
70.384552,23.361012,78.614845,62.722015,22.878719,59.960548,62.809868,23.633076,86.204826,1
67.898544,23.857346,86.695198,68.83358,23.542332,68.680382,55.810589,24.204439,91.363434,1
68.701363,22.961542,69.541687,62.418518,22.411951,45.91869,60.864265,23.199108,70.228127,1
64.634964,23.276623,64.145905,69.009018,22.846155,50.226063,56.788277,23.393078,68.084877,1
67.813126,23.745203,86.398827,62.520504,23.250238,65.924706,56.036278,24.292435,99.458061,1
69.023277,22.542429,62.326664,69.120232,22.165049,48.543781,66.009415,23.17721,72.479736,1
83.025978,24.409914,99.878159,75.335213,23.842167,67.64283,66.695732,24.542034,98.137787,1
70.854965,23.937147,83.999886,65.779518,23.434019,61.454025,62.271011,24.21476,84.568367,1
71.493324,22.207092,49.571968,73.492935,21.881926,38.661079,67.207413,22.855433,57.707275,1
14.334345,17.375824,31.333849,17.005234,17.717693,25.892048,14.885714,18.427925,39.509121,2
14.88076,22.775438,145.15807,19.721197,22.721598,128.50438,18.67522,23.350405,152.0322,3
11.234054,18.936127,74.647377,10.963024,19.690008,86.185669,12.840991,19.715904,90.641907,2
11.996,24.854528,250.20305,17.698,24.829704,223.05504,9.7600002,25.558889,289.56381,3
12.203542,23.549162,183.92238,15.355486,23.489092,160.2943,13.588778,24.281546,208.063,3
12.846045,21.918915,161.77817,17.067091,21.977564,138.22104,15.518833,23.000113,181.25507,3
4.9885674,28.92539,533.5769,5.2181306,29.126598,517.22241,4.6247249,29.510231,582.05121,3
6.1778941,27.9725,471.14151,9.1869297,28.275589,455.85522,7.814394,28.93519,540.92328,3
6.4229465,29.164886,560.07501,5.4693432,29.582249,573.15338,4.3337908,30.107046,649.74384,3
14.192296,18.41843,44.611042,20.097031,18.604965,36.531528,16.355095,19.29875,53.664024,2
14.589647,26.533527,350.42484,15.349142,26.403021,304.33862,15.755122,26.971064,356.84625,3
7.9490199,27.69038,457.19153,10.572827,27.849871,420.65118,9.0162544,28.521393,507.5264,3
21.530741,23.276463,189.38905,27.33889,22.754301,130.64777,23.852425,23.120481,145.28531,3
12.416896,20.868736,128.30072,16.953968,21.298639,120.55563,16.196066,21.782232,154.31506,3
3.5910711,28.291906,494.03912,4.3086452,28.480734,472.19986,3.477792,28.789505,528.00153,3
65.939301,23.888876,93.566193,64.163704,23.502798,67.09462,45.386471,24.621929,104.66432,1
65.073196,24.34026,104.75837,68.793953,23.875498,81.433083,54.113613,24.800497,117.56396,1
55.998405,21.763309,72.102798,60.292679,21.147078,48.055904,50.648376,22.104809,70.692993,1
59.629601,21.621546,60.35136,63.106812,21.110773,44.723015,62.180782,22.075109,66.637131,1
59.816017,21.564735,54.796177,65.187317,21.06506,36.333187,53.762051,21.867231,55.528378,1
62.60091,23.517866,96.419159,71.614067,23.189163,71.104477,53.965775,24.154873,103.78261,1
63.160271,23.622477,101.23081,66.845192,23.208376,69.992798,51.28347,24.16853,110.37203,1
60.807919,21.3512,51.826717,65.136421,20.836193,36.390335,57.510544,21.713608,51.384212,1
66.048912,24.356607,104.0711,66.545929,23.910975,79.116173,53.154732,24.972925,121.46452,1
68.228317,23.622526,107.73898,65.960327,23.130241,66.875008,55.145321,24.00292,114.8581,1
53.658802,22.593012,81.918762,54.243141,22.289345,59.850155,55.366508,23.080242,71.44957,1
66.805023,22.383183,79.168411,65.220963,22.062725,55.829273,51.824207,23.077761,90.316544,1
64.345955,23.585369,95.68528,66.320518,23.247238,68.383011,49.728027,24.211569,102.36559,1
62.248379,24.049129,114.2477,69.238899,23.494905,72.192314,50.06955,24.339558,116.97655,1
58.390503,23.095581,105.93824,63.176785,22.587732,73.057274,50.243824,23.452826,107.99005,1
59.319435,23.163055,89.508392,58.590679,22.900084,65.026665,53.511963,23.669849,81.445747,1
57.844154,22.862246,97.751068,67.396027,22.642105,83.581161,57.082405,23.580893,118.02602,1
70.666336,23.470642,79.646049,60.875122,23.155737,60.454472,55.397243,24.00552,77.73423,1
71.029762,23.347954,85.471649,59.990364,23.09164,63.60358,51.075966,23.805449,79.950386,1
68.528687,23.534138,103.55798,63.819855,23.114441,66.317177,51.590103,24.094427,111.09791,1
63.91494,24.068808,100.80459,64.848701,23.682678,73.345253,48.382404,24.867065,117.38893,1
63.608387,23.979248,101.29372,67.170822,23.597267,75.356544,50.779305,24.741884,118.47092,1
65.892006,23.047665,95.160751,62.552349,22.659145,66.027969,49.115181,23.556797,99.693451,1
59.399647,22.872368,99.480583,64.772659,22.438166,72.379311,54.517471,23.353664,105.0174,1
54.353432,21.319908,61.280754,57.538342,20.939238,43.164204,49.585224,21.848623,64.834404,1
69.338203,23.090788,102.41159,72.474152,22.710413,77.641724,53.514359,23.649324,122.63606,1
72.638519,23.502975,103.20461,62.546337,23.200447,71.084511,46.530247,24.0107,101.67657,1
55.491989,22.916592,85.614204,56.316982,22.60463,60.313873,55.058552,23.316513,72.784599,1
63.334679,23.800976,114.17419,69.028458,23.11487,64.16642,55.60318,24.10121,118.47835,1
70.298157,23.381151,104.8689,69.251236,23.046415,74.267151,53.950268,23.981226,116.40028,1
66.022888,23.634712,111.97845,71.038094,23.003698,65.954773,55.95126,23.993195,122.97784,1
59.779522,22.916,91.803474,60.776993,22.636496,64.931053,49.906429,23.476032,91.022255,1
54.095123,21.843575,74.120407,61.709091,21.45752,52.74828,50.247021,22.41806,81.126976,1
63.440437,23.25098,94.035507,59.092651,22.999153,66.311035,49.878963,23.749378,88.248627,1
66.959885,23.839985,96.470039,62.939499,23.530155,68.712608,44.810814,24.478598,101.9884,1
59.057613,22.768604,96.157425,64.60479,22.304956,66.846649,53.419136,23.295847,99.372482,1
59.05933,24.235722,119.67538,67.800545,23.726376,78.995171,51.86063,24.58145,125.93712,1
54.778809,23.03146,92.82328,57.515285,22.724478,64.483856,52.608582,23.4041,84.28643,1
71.42054,23.495121,79.400154,63.575375,23.131271,59.17009,49.699932,24.066456,82.16404,1
64.129669,23.912205,98.760735,66.218559,23.482033,68.217987,48.34729,24.538689,104.30627,1
58.860672,24.284674,129.03795,68.452621,23.609678,75.120857,54.744762,24.620592,136.41574,1
59.467068,23.341097,114.62103,64.749428,22.786036,79.365868,54.195518,23.710234,115.28445,1
68.24231,23.650476,92.274887,60.089405,23.353815,63.088177,42.518051,24.217043,92.705116,1
62.467911,21.303854,50.656487,65.777687,20.769815,35.365711,59.493828,21.808729,52.563789,1
58.429359,21.697014,69.3339,62.81913,21.148722,47.382938,52.180561,22.050495,72.650635,1
57.873528,24.393127,122.07074,67.142403,23.820267,76.823837,54.2924,24.734354,128.94516,1
63.276348,23.138599,83.050316,61.471252,22.84918,62.847351,56.762691,23.669641,75.313965,1
67.867661,23.436234,80.733475,61.269997,23.196302,61.826397,45.52578,24.173389,89.71904,1
73.156013,22.49263,89.633293,76.540237,21.981264,57.827045,56.392246,23.049341,104.20283,1
63.578747,23.979721,121.27497,67.512535,23.202606,63.349613,56.47348,24.097443,115.34771,1
62.15308,21.492483,51.713055,65.2332,20.914083,32.307751,53.1479,21.766123,50.971798,1
64.285973,23.627132,103.02975,66.462814,23.114393,65.499374,53.204037,24.262127,115.35258,1
58.203793,23.107733,103.12759,64.819824,22.757858,75.392677,50.308796,23.636717,110.67599,1
69.43486,23.638088,84.89624,65.912834,23.273308,62.503693,49.854305,24.388083,94.424515,1
70.163071,23.111282,101.01791,71.925346,22.492294,57.363445,55.746292,23.493195,108.93369,1
66.110634,23.29364,88.318306,59.344021,22.985186,63.456505,52.028244,23.718359,79.562782,1
74.464233,22.219242,70.026604,82.627228,21.697611,41.69191,64.938232,22.749596,83.586914,1
