prec_smooth1980,tavg_smooth1980,dday31C_smooth1980,prec_smooth1990,tavg_smooth1990,dday31C_smooth1990,prec_smooth2000,tavg_smooth2000,dday31C_smooth2000,Cluster
66.946632,24.023209,46.051933,64.532051,23.640768,40.012569,57.087627,24.229784,53.233425,1
97.862572,24.865362,35.913548,93.206871,24.358032,24.587408,87.592659,25.157261,43.380219,1
62.591663,24.018715,46.994694,63.034801,23.72961,38.802063,59.92144,23.950411,47.851852,1
70.317184,23.431904,48.270844,67.188812,23.117323,34.274876,59.424465,23.946259,52.976677,1
69.835373,22.490761,37.416279,67.535439,21.99155,21.757792,64.639816,23.015505,36.479538,1
63.154015,23.62829,40.106533,66.483353,23.392553,38.27116,58.653622,23.880308,48.587868,1
70.441048,24.052479,51.017345,70.323296,23.739927,41.925278,63.584389,24.358658,56.991096,1
68.957001,22.54142,36.914764,64.222282,21.983957,19.07762,58.269703,22.76528,31.734467,1
64.709938,22.951517,38.973366,68.769157,22.681067,31.850937,56.727867,23.095257,44.494537,1
69.323677,22.501314,38.25914,69.724709,21.994032,22.584507,62.577854,22.784512,34.072372,1
69.949165,23.285637,39.452969,64.539185,22.887733,27.51598,60.87418,23.520027,40.346054,1
73.413452,24.055925,61.191463,71.711945,23.638674,39.997166,59.884418,24.235085,58.989052,1
79.333542,24.253328,62.933346,73.156273,23.64888,37.558891,68.344673,24.467648,59.488453,1
69.178017,21.890488,20.087694,65.830597,21.477577,11.684692,60.740799,22.175161,18.871538,0
67.302986,22.04348,29.193396,63.986916,21.626654,14.577008,61.338352,22.249477,24.199909,1
73.302132,24.389385,48.900753,70.877441,23.939022,37.222916,66.927132,24.395992,51.319042,1
68.903442,22.485302,39.206608,71.455658,22.335436,35.53027,57.969891,23.029774,40.050625,1
76.327179,24.149885,51.36026,79.096931,23.480452,31.490355,71.429337,24.315002,53.23027,1
69.356483,22.799433,34.012791,66.180206,22.300097,20.989996,59.378288,22.986147,33.685917,1
76.15963,24.1031,50.542484,78.921135,23.689064,38.85865,71.969032,24.340252,59.473236,1
68.932999,23.882378,52.224751,69.871429,23.563311,43.93858,64.416931,24.113575,57.581898,1
71.301506,22.169783,34.42659,71.493805,21.705877,22.171362,66.626976,22.931963,39.61227,1
68.704575,24.540764,51.701183,64.968102,24.170372,45.64806,61.64043,24.368956,58.173103,1
67.654434,23.92404,51.595291,61.610035,23.616062,37.551872,58.647961,24.262653,53.393246,1
66.030418,21.490595,20.76581,69.504036,21.033667,12.0228,62.537266,21.946241,17.885841,0
63.466633,23.647684,42.330345,65.763962,23.248625,33.272003,55.376438,23.833694,46.879368,1
83.763832,24.467394,50.554333,86.962303,23.848629,32.011063,75.79895,24.687157,54.924122,1
67.726463,22.494425,34.213291,66.465691,21.98126,19.839155,61.638012,22.863054,32.27356,1
69.502953,22.732128,47.579887,70.104317,22.224171,36.627815,65.025192,23.180405,50.407581,1
71.45919,22.214567,33.289234,73.441803,21.888964,25.346895,63.801136,22.766535,35.470577,1
74.020615,24.510094,52.170403,74.201088,24.173916,43.585983,68.321159,24.483749,55.871525,1
66.05172,23.871681,56.996269,65.106117,23.535894,41.67234,54.052895,24.24519,59.185379,1
65.075539,23.945053,60.494331,65.575378,23.657402,47.577988,53.827103,24.474167,62.436493,1
67.718567,24.547228,54.391174,62.127151,24.203337,49.975033,59.49575,24.305,63.82893,1
70.060654,24.661957,52.703796,68.379555,24.447256,51.145916,62.768909,24.58481,60.920757,1
65.730476,21.574394,22.281097,71.045418,21.17058,16.322285,65.72258,22.022799,21.971134,0
69.676918,23.120667,47.151554,65.863586,22.6485,30.455502,66.681442,23.663774,51.217827,1
70.825142,22.909185,49.150677,70.950241,22.308994,35.45129,64.944656,23.355375,54.978878,1
69.252281,22.234077,36.392784,72.338707,21.975,31.027525,59.989708,22.704636,36.096859,1
68.472244,22.574108,37.032177,69.637589,22.378143,32.066624,60.18914,23.228109,42.33939,1
63.59259,23.479429,43.940544,68.526337,23.048157,30.796295,52.996143,23.551996,41.840714,1
68.268661,22.157953,30.117159,68.301079,21.904688,27.264341,60.829647,22.746717,35.89859,1
64.693359,24.114626,48.069294,63.829918,23.753584,44.114601,55.559307,24.314806,55.776596,1
62.332344,23.709305,44.720245,66.809402,23.364943,36.637634,55.849796,23.886948,48.624306,1
66.842873,21.957455,25.335674,68.171921,21.661245,23.354979,63.585754,22.447111,29.371628,1
66.967949,23.96339,56.683376,67.230759,23.697866,43.813412,55.555828,24.353783,57.051441,1
71.419518,22.281916,37.098289,74.08989,21.866056,28.011185,67.342392,22.767927,39.882896,1
67.201111,22.437063,32.33168,67.087891,21.924204,19.537352,61.877426,22.778685,28.908249,1
101.32086,25.037161,42.567337,89.303741,24.411291,27.357267,84.336586,25.137533,43.278969,1
79.240349,24.297085,52.017841,78.512512,23.659128,30.452394,70.769814,24.4848,52.2075,1
