cornyield_smooth1980,cornyield_smooth2000
35.720001,52.599998
94.980003,
45.34,
,
48.060001,95.199997
32.959999,
43.380001,47.799999
45.259998,
,
50.139999,83.199997
31.48,
38.779999,
45.939999,
32.400002,
42.720001,
44.700001,
47.920002,113.4
54.579998,
,
41.82,
46.779999,
40.919998,97.599998
45.34,54.799999
38.82,73
48.52,91.199997
33.34,71.199997
69.720001,
51.619999,
36.540001,72.599998
48.959999,
47.220001,
38.02,
40.880001,
47.119999,
56.18,
51.720001,
,
45.959999,
62.880001,96.599998
46.439999,111.2
30.960001,
66.839996,104.4
41.02,64.800003
29.58,
62.560001,99.400002
46.599998,
51.119999,
50.380001,88.599998
78.120003,78.599998
63.959999,
43.220001,
41.52,94.800003
38.52,
45.700001,
49.419998,77.599998
47.119999,
41.919998,
,
,
48.84,
43.18,
35.880001,
34.400002,81
38.220001,
52.260002,56
50.580002,
39.939999,
,
,198.2
,
,
,186.42
,
,
,172.94
,
,
,
,177.2
,
,
,190.95999
,
57.400002,
,
59,
,
,
41.599998,
,
55.799999,
,
75.599998,132.88
,
,
,
51.400002,
64,114.2
55.400002,
,
64.199997,
,
66.199997,
,
,
,
,
,
,
64.199997,124.88
,
,
,
,123.8
,
68.599998,142.48
65,
,
,
,
,
,
,
,
,
,
,
,90.019997
65.800003,136.88
,144.60001
,
40.799999,
,
45,
,
,
,
66,
,
49.200001,
,
,
,136.25999
,
,
,
,
,
,
,
,
,
,
,
55,
,130.06
51,
,
,
,
133.18001,
,
132.46001,147.89999
111.74,134.8
,
,
94.620003,162.66
117.82,196.25999
,
,179.53999
,
94.260002,163.94
106.68,174.84
,
,
,
99.199997,172.16
,
,
,
114.88,172.36
,
,
126.8,
,
,
,
,
,
,146.62
138.7,156.86
,
,0
,
139.10001,163.45999
,
,
,0
,
,
,
,
,
130.34,169.82001
,
118.06,138.8
120.46,174.32001
109.36,175.42
111.38,180.82001
,
,
129.12,178.48
127.24,
114.9,104.4
,
,76.5
,
105.1,163.3
93.400002,142.89999
114.6,131.39999
,
108.9,108.2
,
,
77.900002,115.7
,
115.5,168.7
,
,
,
,
,48
66.599998,
,
95,
,
,
,
,
,
,61.400002
119.8,121.2
,
,
114.1,135.8
85.099998,
,80.699997
117.5,122.4
115.2,145.3
,
,
113.4,161.5
127,160
110,155.60001
,
,
127.6,127.4
,
112.9,150.39999
119.6,176
,
,
,
,
,
124.2,124
,
126.7,103.9
122.8,156.8
131.5,173
,
,
,
,
,
,
,
,
95.800003,117.5
97.919998,86.980003
84.300003,121.44
57.799999,72.260002
47.599998,
,
54,
,
,
,84.339996
,
,
,
,
40,70.279999
,
36.599998,
68.599998,
93,83.479996
,
81.400002,81.199997
41,69.400002
,
,
44.799999,90.519997
,
,
,
,
,
47,86.559998
,
69.199997,98.919998
62.799999,73.82
49,80.959999
73.599998,
,
60,
57.200001,68.5
,
45.599998,73.720001
,
52.200001,
,
,
61.200001,
63.599998,78.800003
,
,
,
,
,
,
69.800003,
63.799999,
,
64.199997,73.519997
,
,
,
40.799999,84.379997
37,
49.599998,
,
,
61.799999,82.260002
62.200001,85.260002
51.360001,52.5
55.439999,92.519997
44.559998,68.860001
81.779999,163.12
31.5,
41,
27.280001,
50.380001,105.58
55.860001,107.26
52.459999,87.800003
37.420002,
51.060001,117.18
48.880001,56.200001
65.800003,96.639999
53.66,57.200001
55.32,66.760002
60.32,89.360001
26.34,
70.099998,145.46001
46.459999,
48.060001,
44.880001,
57.32,
41.920002,
50.220001,
,
55.099998,72.139999
50.419998,
,
55.66,
34.82,
55.439999,
,
51.700001,106.4
57,105.1
43.16,
58.139999,75.339996
34.239998,
37.720001,
57.880001,78.800003
57.779999,
78.700005,
77.639999,131.24001
,
44.639999,100.54
55.739998,78.400002
67.220001,155.44
,
73.360001,138.8
53.18,
52.48,62.299999
38.299999,
50.18,73
46.959999,69
71.739998,
34.579998,
61.799999,89.699997
55.939999,
44.900002,
,
58.84,
32.5,
,
69.440002,106.46
67.199997,89.379997
39.48,
35.639999,
58.16,
55.799999,
26.620001,
45.619999,
37.5,
48.740002,
39.220001,
26.280001,
53.799999,114.78
53.399998,98.620003
42.739998,
32.060001,
55.84,97.800003
57.440002,163.66
50.880001,91
35.540001,89
27.059999,
32.98,
52.32,72.260002
44.860001,87.959999
66.379997,138.5
47.860001,
30.1,
48.639999,
49.099998,63.299999
58.98,
44.84,
,
58.720001,97.599998
35.220001,
44.32,70.68
40.32,
81.120003,140.60001
81.839996,156.8
,
39.259998,57.66
34.579998,
65.639999,
,
32.82,
40.200001,
33.880001,
,
38.059998,
54.419998,
55,109.48
32.279999,
44,
54.98,
43.459999,
53.68,
67.099998,127.22
46.580002,
33.32,
44.579998,
59.18,89.440002
92.5,168
38.700001,
49.459999,
55.98,71.599998
77.139999,102.12
34.48,
41.5,
45.419998,91.419998
39.48,72.400002
50.68,112.6
60.119999,129.62
67.400002,74.779999
59.959999,112.6
46.720001,95.260002
32.220001,
34.66,
59.639999,116.48
49.119999,
71.839996,
55.02,
56.18,100.4
30.620001,
55.16,54.860001
36.040001,
40.760002,109.1
58.260002,66.5
50.139999,
49.200001,
67.339996,94.059998
59.639999,
57.5,116.2
42.279999,
37.900002,
56.84,100.84
106.96,154.10001
,
,
,
,
82.400002,
,
,
,
81.599998,
,
,
,
104.76,165.73999
,
95.459999,156.02
,
,
,
105.96,149.78
84,144.60001
,
101.96,152.28
98.919998,149.02
,
,
101.36,138.03999
,
,
,
,
92.879997,162.14
,
93.459999,
,
,
104.4,151.98
105.34,164
,
,
,
102.36,144.95999
,
103.94,
108.8,144.60001
90.400002,122.8
95,115.8
122.4,145.39999
113.6,141.39999
125.2,156.60001
103.6,123.4
122.2,162.8
123.2,154.2
126.8,149.2
129,155.60001
113.2,134.60001
90,111
92.599998,123.2
123.8,150.2
106.6,115
107.4,123.2
112,132.39999
133.60001,154.2
120.8,153.39999
121,141.8
117.8,126.6
121,144.2
94.400002,116.8
108,121
97.599998,120.8
114.4,142.60001
76.800003,96
111,150.2
97,125.2
108.8,138.39999
119.6,141.2
81.800003,109.4
119,146.8
73.599998,112
125.2,153.8
124.8,154
114.6,151.2
84,107
108.4,121
82.199997,106.2
111.8,138.60001
116.6,148.39999
79.199997,107
130,146.39999
116.6,137.60001
122.8,138.2
122.6,159
101.6,105.2
124.2,147.60001
97.599998,123.2
126.6,159
119.8,139.39999
118.4,154.8
124,160.2
118.8,132.8
124.2,153.39999
127.2,158.60001
117.4,145
105.6,135
90.400002,118
117.4,152.39999
105.6,141.60001
85,106.8
120.8,155.39999
124.2,154.60001
102,121.2
119.2,141.39999
131.60001,156
132,154.60001
124.4,154.60001
116.6,156.60001
78.800003,91.800003
127.4,155.39999
107.2,144.8
74.599998,91.199997
86.400002,116
118.2,155.39999
89.400002,108.2
95.599998,111
122.4,153.39999
103.6,127.6
81.599998,102.6
131,156.60001
109.6,146.60001
117.2,141.39999
120.4,136.8
126,159.39999
119.2,148.60001
119.6,154
86.800003,114.4
121.2,145.60001
100.6,125.4
130.39999,161.39999
89.400002,114.6
87.599998,112.8
87.599998,119.4
122.6,147
111.2,131.60001
77.400002,89
118.2,135.2
122.6,157.39999
109,128.25999
111.12,133.58
103.82,132.88
121.48,148.7
103.44,134.98
118.72,145.78
94.979996,
119.04,153.53999
115.2,148.46001
99.220001,120.8
106.98,141.34
120.52,157.08
88.660004,
112.2,144.14
96.760002,116.56
117.76,146.02
96.379997,126.24
114.3,144.34
105.66,131.98
101.3,130.56
114.46,135.75999
89.5,
115.06001,142.89999
104.04,126.04
97.020004,129.52
109.12,139.92
119.78,137.67999
105.24,131.53999
117.94,139.75999
114.88,138.2
99.360001,115.38
117.7,146.45999
113.5,141.74001
127.92,151.68001
112.4,128.17999
102.98,120.46
108.02,146.78
100.38,124.68
96.199997,120.82
98.379997,127.64
119.34,136.16
111.18,142.06
99.919998,136.54001
