cornyield_smooth1960,cornyield_smooth1970,cornyield_smooth1975,cornyield_smooth1980,cornyield_smooth1990,cornyield_smooth2000
28.4,35.900002,41.860001,35.720001,59.099998,52.599998
40.400002,48.900002,71.32,94.980003,85.340004,
27,36.880001,38.84,45.34,60.619999,
29.6,33.02,35.439999,,,
31,41.66,42.540001,48.060001,84.959999,95.199997
24.4,32.040001,38.939999,32.959999,58.200001,
28.6,33.099998,34.220001,43.380001,70.739998,47.799999
29.799999,39.200001,42.98,45.259998,88.099998,
22.799999,33.52,36.939999,,,
30.6,42.900002,47.740002,50.139999,63.200001,83.199997
29,34.459999,39.939999,31.48,,
27,31.940001,37.48,38.779999,58.459999,
27.4,33.200001,39,45.939999,54.440002,
23.799999,32.48,41.52,32.400002,,
25.6,41.540001,43.759998,42.720001,,
26.6,34.66,34.080002,44.700001,64.660004,
28.4,35.799999,51.040001,47.920002,73.779999,113.4
28.200001,33.759998,41.419998,54.579998,68.520004,
25.4,29.9,39.939999,,,
27.200001,33.919998,32.919998,41.82,65.020004,
27.200001,36.400002,38.240002,46.779999,69.5,
32,41.279999,47.82,40.919998,73.739998,97.599998
27.799999,34.860001,34.400002,45.34,68.639999,54.799999
27,32.419998,43.52,38.82,61.360001,73
32.599998,50.639999,56.939999,48.52,80.339996,91.199997
27.799999,33.18,35.919998,33.34,74.940002,71.199997
32.200001,42,62.459999,69.720001,81.840004,
31,43.119999,49.240002,51.619999,73.900002,
28.200001,35.740002,40.919998,36.540001,75.480003,72.599998
27.200001,35.98,48.16,48.959999,67.860001,
29.200001,34.240002,39.220001,47.220001,57.459999,
23.799999,28.98,40.619999,38.02,57.959999,
24.200001,30.780001,39.220001,40.880001,73.160004,
29,36.68,41.580002,47.119999,66.400002,
29.4,34.82,39.779999,56.18,73.5,
33.200001,47.060001,55.060001,51.720001,78.739998,
31,34.66,,,,
25.4,32.5,42.119999,45.959999,70.659996,
28,35.48,46.299999,62.880001,61.639999,96.599998
27.799999,37.900002,43.279999,46.439999,69.300003,111.2
23.6,32.279999,38.380001,30.960001,,
37.400002,39.060001,47.799999,66.839996,68.599998,104.4
24.4,30,36.360001,41.02,61.98,64.800003
22.6,30.9,31.360001,29.58,38.919998,
29,44.939999,60.82,62.560001,71.220001,99.400002
23.799999,31.4,38.82,46.599998,52.439999,
26.799999,37.240002,48.48,51.119999,62.299999,
32.200001,43.700001,54.139999,50.380001,78.160004,88.599998
34.799999,45.52,63.48,78.120003,79.68,78.599998
30,37.599998,54.279999,63.959999,81.479996,
25.200001,34.759998,39.720001,43.220001,66.800003,
28.200001,37.459999,50.16,41.52,72.199997,94.800003
27,29.48,35.759998,38.52,56.200001,
24.200001,30.76,39.080002,45.700001,53.299999,
26,36.48,36.560001,49.419998,79.559998,77.599998
24.4,33.919998,40.799999,47.119999,63.939999,
22.799999,31.5,35.68,41.919998,54.919998,
26,39.48,43.52,,,
26.799999,35.220001,,,,
22.799999,28.940001,36.919998,48.84,65.120003,
24.4,31.280001,44.84,43.18,66.059998,
23.4,30.48,36.34,35.880001,,
26.200001,31.82,34.360001,34.400002,71,81
28.799999,36.880001,42.16,38.220001,,
30,32.34,43.439999,52.260002,59.200001,56
26,29.1,37.540001,50.580002,73.239998,
28.6,37.279999,44.259998,39.939999,57.66,
,14.8,17.200001,,,
,69.720001,83.940002,,167.34,198.2
,11.8,20,,,
,,,,,
,,78,,187.02,186.42
,,,,,
,,,,,
,,49.200001,,108.9,172.94
,,,,,
,17.860001,19.799999,,,
,,,,,
,,,,,177.2
,,,,,
,65.260002,37.799999,,,
,,52.799999,,,190.95999
,29.6,46.959999,,127.22,
,34.400002,45.599998,57.400002,,
,25.200001,33.799999,,,
,34.82,52.48,59,,
,38.5,45.5,,,
,28.459999,39.740002,,,
,26.6,36.720001,41.599998,,
,37.200001,47.439999,,,
,27.940001,48.220001,55.799999,,
,27.6,35.740002,,68.720001,
,51.48,69.779999,75.599998,127.9,132.88
,31,35.84,,,
,27.6,39.400002,,,
,24.66,37.5,,,
,30.16,39.919998,51.400002,88.18,
,43.279999,51,64,120.42,114.2
,31.5,42.259998,55.400002,,
,39.540001,47.400002,,111.68,
,33.860001,49.700001,64.199997,,
,23.6,31.059999,,,
,40.720001,61.439999,66.199997,103.34,
,28.959999,48.540001,,93.699997,
,30.200001,39.040001,,,
,34.080002,43.360001,,,
,28,38.84,,,
,25.6,40.139999,,,
,25.4,34.66,,,
,40.599998,55.739998,64.199997,112.8,124.88
,31.780001,47.66,,,
,27.459999,39.459999,,,
,30.66,48.459999,,,
,38.279999,39.799999,,,123.8
,26.040001,35.400002,,,
,42.540001,53.119999,68.599998,115.76,142.48
,36,51.799999,65,116.54,
,29.459999,43.200001,,,
,31.940001,43.98,,93.639999,
,42.639999,42.720001,,,
,34.880001,49.68,,,
,38.720001,56.540001,,104.2,
,36.400002,45.860001,,,
,28.16,41.16,,,
,31.4,45.52,,128.38,
,37.400002,51.900002,,,
,27,38.48,,,
,29.360001,45.880001,,90.760002,90.019997
,46.16,54.360001,65.800003,117.16,136.88
,33.060001,44.52,,,144.60001
,27,43.34,,,
,27.74,37.419998,40.799999,,
,27.200001,43.66,,,
,26.08,40.98,45,,
,28.860001,39.279999,,,
,29.4,38.400002,,,
,25.940001,43.200001,,,
,47.099998,56.399998,66,112.86,
,33.259998,51.779999,,,
,28.559999,43.439999,49.200001,,
,32,47.720001,,122.58,
,29.860001,45.52,,,
,39.740002,43.02,,107.24,136.25999
,37,51.16,,,
,26.4,36.400002,,,
,30.4,46.880001,,,
,27,35.360001,,,
,30.74,39.400002,,,
,25.700001,42.580002,,,
,30.940001,55.439999,,,
,29.6,36.799999,,,
,29.4,44.060001,,,
,28.6,36.900002,,,
,36.599998,48.080002,,,
,30.620001,35.48,55,95.239998,
,39.599998,55.040001,,102.26,130.06
,33.34,45.700001,51,,
,,,,,
,,,,,
,,73,,158.34,
,94.199997,112.4,133.18001,153.42,
,,,,,
,82.400002,93.400002,132.46001,153.48,147.89999
,74.800003,87.68,111.74,138.38,134.8
,,,,,
,,,,,
,82.599998,86.800003,94.620003,139.45999,162.66
,96.800003,88.199997,117.82,164,196.25999
,,,,,
,,,,,179.53999
,,,,,
,77.400002,82.699997,94.260002,170.3,163.94
,85.199997,87.599998,106.68,151.03999,174.84
,71.599998,,,,
,,,,,
,,,,,
,85.800003,91,99.199997,146.98001,172.16
,,,,,
,,,,,
,,60.299999,,,
,88.400002,100.8,114.88,143.44,172.36
,,,,,
,,,,,
,79.800003,,126.8,160.60001,
,,,,,
,,,,,
,,,,,
,,,,155.60001,
,,,,,
,65,,,110.68,146.62
,102.8,122.02,138.7,155.52,156.86
,74,,,,
,,,,,0
,,,,,
,107.4,118.28,139.10001,160.74001,163.45999
,63.400002,,,,
,,,,,
,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,104.8,113.4,130.34,164.22,169.82001
,,,,,
,93,97.940002,118.06,147.09999,138.8
,104.2,125.38,120.46,137.08,174.32001
,98.400002,102.4,109.36,149.38,175.42
,95.599998,108.4,111.38,166.2,180.82001
,,,,,
,,,,,
,113,117.96,129.12,172.96001,178.48
,95,105.08,127.24,134.45999,
,96.599998,99.080002,114.9,131.89999,104.4
,,,,,
,84.800003,78.339996,,,76.5
,,,,,
,74.82,79.739998,105.1,156,163.3
,86.900002,92.400002,93.400002,122,142.89999
,93.32,95.379997,114.6,140,131.39999
,,,,,
,95.199997,88.639999,108.9,141.39999,108.2
,,,,,
,,,,,
,81,86.300003,77.900002,119.5,115.7
,,,,,
,90.699997,99.68,115.5,144.60001,168.7
,,,,,
,,,,,
,,,,,
,,,,,
,51.32,40.439999,,,48
,35.299999,38.560001,66.599998,,
,,,,,
,77.800003,90.199997,95,,
,,,,,
,,,,,
,,60.400002,,,
,,,,,
,,,,,
,91.5,90.900002,,115,61.400002
,97.940002,99.720001,119.8,156.39999,121.2
,,,,,
,,,,,
,97.199997,96.699997,114.1,145.89999,135.8
,56.299999,79.379997,85.099998,116.4,
,75.139999,77.660004,,128.7,80.699997
,89.760002,98.479996,117.5,136.60001,122.4
,99.599998,104.26,115.2,139.2,145.3
,,,,,
,80.900002,,,,
,85.400002,96.900002,113.4,145,161.5
,105.8,109.28,127,159,160
,91.599998,97.68,110,147.5,155.60001
,,,,,
,,,,,
,73.620003,96.239998,127.6,144.10001,127.4
,,,,,
,89.199997,102.86,112.9,140.3,150.39999
,87.519997,96.839996,119.6,161.89999,176
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,91.540001,99.659996,124.2,136.10001,124
,,,,,
,93.5,100.24,126.7,138.39999,103.9
,100.62,104.24,122.8,153.2,156.8
,93.459999,107.48,131.5,164.8,173
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
