prec_smooth1960,tavg_smooth1960,dday32C_smooth1960,prec_smooth1970,tavg_smooth1970,dday32C_smooth1970,prec_smooth1980,tavg_smooth1980,dday32C_smooth1980,prec_smooth1990,tavg_smooth1990,dday32C_smooth1990,prec_smooth2000,tavg_smooth2000,dday32C_smooth2000,Cluster
64.85569,24.030661,24.928251,61.320923,23.947968,23.104465,66.946632,24.023209,25.788683,64.532051,23.640768,21.866877,57.087627,24.229784,30.88028,1
93.78624,24.550625,11.937575,81.014442,24.874575,17.02986,97.862572,24.865362,17.619396,93.206871,24.358032,10.560775,87.592659,25.157261,22.803364,1
67.081459,23.961044,21.585823,63.725071,23.934336,21.762472,62.591663,24.018715,26.517218,63.034801,23.72961,20.553637,59.92144,23.950411,27.338474,1
61.882545,23.265858,21.999424,67.863609,23.234333,19.511917,70.317184,23.431904,28.334332,67.188812,23.117323,18.406866,59.424465,23.946259,30.884924,1
62.940414,22.20636,14.579623,66.359184,22.147327,10.424443,69.835373,22.490761,22.096266,67.535439,21.99155,11.542459,64.639816,23.015505,20.317938,1
65.618332,23.532827,17.763655,62.464462,23.473875,17.378735,63.154015,23.62829,21.894855,66.483353,23.392553,20.758451,58.653622,23.880308,28.102741,1
70.904251,24.08931,24.505247,64.373703,24.015081,25.754358,70.441048,24.052479,29.154938,70.323296,23.739927,22.766491,63.584389,24.358658,33.251427,1
60.061802,22.296576,15.196759,62.466095,22.09646,10.154793,68.957001,22.54142,21.439638,64.222282,21.983957,9.5596113,58.269703,22.76528,17.065622,1
63.815155,22.91995,16.617237,67.65374,22.751825,13.529874,64.709938,22.951517,21.974295,68.769157,22.681067,16.838531,56.727867,23.095257,25.73057,1
60.487625,22.417072,16.990379,63.114693,22.22139,11.080598,69.323677,22.501314,22.757608,69.724709,21.994032,12.051577,62.577854,22.784512,18.772169,1
64.95224,23.183115,16.047279,65.477188,23.206795,16.287615,69.949165,23.285637,22.054964,64.539185,22.887733,14.090813,60.87418,23.520027,22.458168,1
74.331017,23.845058,29.001987,62.62439,23.903833,28.201881,73.413452,24.055925,36.658646,71.711945,23.638674,21.518284,59.884418,24.235085,35.166153,1
77.317314,24.08416,28.052486,62.915337,24.243536,33.908653,79.333542,24.253328,37.526485,73.156273,23.64888,19.844536,68.344673,24.467648,35.016384,1
64.759483,21.828632,5.7208519,65.968895,21.607883,4.1161799,69.178017,21.890488,10.086739,65.830597,21.477577,5.0715055,60.740799,22.175161,8.9724245,1
63.833256,21.866701,9.3986864,61.41832,21.651371,7.2644444,67.302986,22.04348,16.168835,63.986916,21.626654,6.6550574,61.338352,22.249477,12.282626,1
74.415398,24.312536,19.644608,69.322296,24.387688,24.691315,73.302132,24.389385,27.221966,70.877441,23.939022,19.134571,66.927132,24.395992,29.284975,1
58.895893,22.326483,16.484743,68.070145,22.422497,17.952698,68.903442,22.485302,23.925097,71.455658,22.335436,20.651899,57.969891,23.029774,23.199671,1
80.047676,23.966328,20.591639,69.379219,24.062815,26.220963,76.327179,24.149885,28.950537,79.096931,23.480452,15.730203,71.429337,24.315002,30.420418,1
62.942333,22.663668,14.334598,67.083588,22.509329,11.321676,69.356483,22.799433,18.70034,66.180206,22.300097,10.445098,59.378288,22.986147,18.113605,1
80.261681,24.099874,21.491686,71.207558,24.152454,26.472801,76.15963,24.1031,28.221336,78.921135,23.689064,20.260363,71.969032,24.340252,34.925457,1
71.206123,23.838095,21.88044,66.203323,23.89617,27.58861,68.932999,23.882378,30.184254,69.871429,23.563311,24.160053,64.416931,24.113575,34.133579,1
66.534264,22.092367,13.177765,68.235764,21.887888,7.9086604,71.301506,22.169783,20.298389,71.493805,21.705877,11.939162,66.626976,22.931963,22.564058,1
71.317474,24.445082,22.665802,68.840187,24.491299,26.519808,68.704575,24.540764,29.113813,64.968102,24.170372,24.595291,61.64043,24.368956,34.417526,1
63.887276,23.978035,24.602007,60.150818,24.016586,24.752903,67.654434,23.92404,30.228168,61.610035,23.616062,20.296858,58.647961,24.262653,31.039986,1
63.314373,21.542795,5.6942687,65.278648,21.436474,3.5496001,66.030418,21.490595,11.214399,69.504036,21.033667,5.7184072,62.537266,21.946241,8.6439838,1
63.704075,23.644623,19.915525,62.995499,23.509993,18.179289,63.466633,23.647684,23.508629,65.763962,23.248625,17.480659,55.376438,23.833694,26.503948,1
87.328407,24.143417,18.525778,73.278946,24.42281,26.885551,83.763832,24.467394,27.783909,86.962303,23.848629,15.508965,75.79895,24.687157,31.013252,1
61.355942,22.322247,13.002788,64.758369,22.237579,8.5551109,67.726463,22.494425,19.835642,66.465691,21.98126,10.206387,61.638012,22.863054,17.528254,1
62.723946,22.35313,20.011169,67.704453,22.321409,16.8687,69.502953,22.732128,29.132416,70.104317,22.224171,20.866072,65.025192,23.180405,29.913301,1
63.151604,22.048038,13.082891,68.463058,22.013083,12.078474,71.45919,22.214567,19.446659,73.441803,21.888964,13.809201,63.801136,22.766535,20.048199,1
76.544998,24.452864,21.357523,68.887909,24.544855,27.129568,74.020615,24.510094,29.260082,74.201088,24.173916,23.039278,68.321159,24.483749,32.3615,1
58.570534,23.622925,24.154716,60.96941,23.651815,23.497055,66.05172,23.871681,34.520573,65.106117,23.535894,23.110485,54.052895,24.24519,35.52739,1
61.31485,23.757393,25.802607,61.261765,23.741938,25.931461,65.075539,23.945053,37.006985,65.575378,23.657402,27.38628,53.827103,24.474167,38.048332,1
70.714981,24.361132,24.264626,69.786186,24.459101,28.300238,67.718567,24.547228,31.027163,62.127151,24.203337,27.750303,59.49575,24.305,38.7976,1
72.930374,24.660931,23.344248,68.428093,24.712885,28.005306,70.060654,24.661957,29.431755,68.379555,24.447256,28.097935,62.768909,24.58481,35.990986,1
63.995041,21.47983,7.177547,64.353195,21.42594,5.1591897,65.730476,21.574394,12.037821,71.045418,21.17058,8.3986645,65.72258,22.022799,10.926424,1
61.929489,22.879122,20.27635,66.635056,22.819897,15.83597,69.676918,23.120667,28.310091,65.863586,22.6485,16.570824,66.681442,23.663774,30.109602,1
63.416363,22.520523,22.577118,69.432198,22.531982,19.506634,70.825142,22.909185,30.221785,70.950241,22.308994,19.927315,64.944656,23.355375,33.204086,1
60.302959,22.08951,14.301343,67.021172,22.172199,16.317493,69.252281,22.234077,21.774035,72.338707,21.975,17.718689,59.989708,22.704636,20.492144,1
61.223156,22.505997,16.294371,65.267303,22.509394,14.261429,68.472244,22.574108,21.956228,69.637589,22.378143,18.212011,60.18914,23.228109,24.494801,1
65.367729,23.229713,17.816521,67.212959,23.180031,16.294548,63.59259,23.479429,24.949909,68.526337,23.048157,15.876077,52.996143,23.551996,23.411081,1
62.294312,22.102715,13.130434,62.657787,22.117609,11.011426,68.268661,22.157953,16.896868,68.301079,21.904688,15.23687,60.829647,22.746717,20.166353,1
63.016079,24.08721,25.109808,58.206104,23.970076,23.77911,64.693359,24.114626,27.219658,63.829918,23.753584,24.662806,55.559307,24.314806,32.69326,1
63.75666,23.68416,20.755524,62.684753,23.537161,18.831305,62.332344,23.709305,25.152348,66.809402,23.364943,19.59721,55.849796,23.886948,27.804329,1
63.348751,21.92485,10.450025,62.562874,21.925335,8.0153456,66.842873,21.957455,13.619849,68.171921,21.661245,12.63656,63.585754,22.447111,15.642017,1
64.745255,23.87532,24.353153,61.297169,23.907549,25.815481,66.967949,23.96339,34.082329,67.230759,23.697866,24.614737,55.555828,24.353783,33.867966,1
65.086334,22.032701,15.131378,68.894402,21.96521,12.553164,71.419518,22.281916,22.056383,74.08989,21.866056,15.414871,67.342392,22.767927,22.939039,1
63.057148,22.169607,10.499121,65.292816,22.194036,7.7936668,67.201111,22.437063,18.533236,67.087891,21.924204,10.091855,61.877426,22.778685,15.1558,1
93.418358,24.618483,13.703535,79.277344,25.166267,22.968681,101.32086,25.037161,21.877579,89.303741,24.411291,12.394737,84.336586,25.137533,23.057283,1
80.932373,24.135971,21.367786,67.350922,24.357208,28.342972,79.240349,24.297085,29.292862,78.512512,23.659128,14.906324,70.769814,24.4848,29.504375,1
63.169327,24.093107,23.3097,59.629902,23.972189,22.686739,62.900799,24.142393,25.867994,65.69912,23.806505,25.148741,55.12846,24.304075,32.364864,1
63.233932,22.314865,14.060995,64.166222,22.224224,10.387945,68.705147,22.295595,19.514551,68.701057,22.007282,15.411165,61.962021,22.958309,22.58596,1
63.286736,23.782454,22.738602,60.374115,23.800762,23.276249,66.082222,23.758966,31.08136,64.592552,23.521025,20.340521,55.617153,24.231133,31.3591,1
55.861477,23.413204,25.698669,61.994225,23.381411,22.322559,68.306458,23.81669,36.586121,64.888794,23.281216,23.60936,55.900219,24.178413,40.86031,1
