cornyield_smooth1980,cornyield_smooth2000,Cluster
35.720001,52.599998,1
94.980003,,1
45.34,,1
,,1
48.060001,95.199997,1
32.959999,,1
43.380001,47.799999,1
45.259998,,1
,,1
50.139999,83.199997,1
31.48,,1
38.779999,,1
45.939999,,1
32.400002,,1
42.720001,,1
44.700001,,1
47.920002,113.4,1
54.579998,,1
,,1
41.82,,1
46.779999,,1
40.919998,97.599998,1
45.34,54.799999,1
38.82,73.0,1
48.52,91.199997,1
33.34,71.199997,1
69.720001,,1
51.619999,,1
36.540001,72.599998,1
48.959999,,1
47.220001,,1
38.02,,1
40.880001,,1
47.119999,,1
56.18,,1
51.720001,,1
,,1
45.959999,,1
62.880001,96.599998,1
46.439999,111.2,1
30.960001,,1
66.839996,104.4,1
41.02,64.800003,1
29.58,,1
62.560001,99.400002,1
46.599998,,1
51.119999,,1
50.380001,88.599998,1
78.120003,78.599998,1
63.959999,,1
43.220001,,1
41.52,94.800003,1
38.52,,1
45.700001,,1
49.419998,77.599998,1
47.119999,,1
41.919998,,1
,,1
,,1
48.84,,1
43.18,,1
35.880001,,1
34.400002,81.0,1
38.220001,,1
52.260002,56.0,1
50.580002,,1
39.939999,,1
,,0
,198.2,3
,,0
,,3
,186.42,3
,,3
,,3
,172.94,3
,,3
,,0
,,3
,177.2,3
,,3
,,3
,190.95999,3
,,1
57.400002,,1
,,1
59.0,,1
,,1
,,1
41.599998,,1
,,1
55.799999,,1
,,1
75.599998,132.88,1
,,1
,,1
,,1
51.400002,,1
64.0,114.2,1
55.400002,,1
,,1
64.199997,,1
,,1
66.199997,,1
,,1
,,1
,,1
,,1
,,1
,,1
64.199997,124.88,1
,,1
,,1
,,1
,123.8,1
,,1
68.599998,142.48,1
65.0,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,90.019997,1
65.800003,136.88,1
,144.60001,1
,,1
40.799999,,1
,,1
45.0,,1
,,1
,,1
,,1
66.0,,1
,,1
49.200001,,1
,,1
,,1
,136.25999,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
55.0,,1
,130.06,1
51.0,,1
,,0
,,0
,,0
133.18001,,3
,,0
132.46001,147.89999,3
111.74,134.8,0
,,0
,,0
94.620003,162.66,3
117.82,196.25999,3
,,0
,179.53999,3
,,0
94.260002,163.94,3
106.68,174.84,3
,,0
,,0
,,3
99.199997,172.16,3
,,0
,,3
,,0
114.88,172.36,3
,,0
,,0
126.8,,0
,,0
,,0
,,0
,,3
,,0
,146.62,3
138.7,156.86,0
,,0
,0.0,3
,,0
139.10001,163.45999,0
,,0
,,0
,0.0,0
,,0
,,0
,,0
,,0
,,0
130.34,169.82001,0
,,0
118.06,138.8,3
120.46,174.32001,3
109.36,175.42,3
111.38,180.82001,3
,,0
,,0
129.12,178.48,3
127.24,,3
114.9,104.4,0
,,0
,76.5,0
,,0
105.1,163.3,0
93.400002,142.89999,0
114.6,131.39999,0
,,0
108.9,108.2,0
,,0
,,0
77.900002,115.7,0
,,0
115.5,168.7,0
,,0
,,0
,,0
,,0
,48.0,0
66.599998,,0
,,0
95.0,,0
,,0
,,0
,,0
,,0
,,0
,61.400002,0
119.8,121.2,0
,,0
,,0
114.1,135.8,0
85.099998,,0
,80.699997,0
117.5,122.4,0
115.2,145.3,0
,,0
,,0
113.4,161.5,0
127.0,160.0,0
110.0,155.60001,0
,,0
,,0
127.6,127.4,0
,,0
112.9,150.39999,0
119.6,176.0,0
,,0
,,0
,,0
,,0
,,0
124.2,124.0,0
,,0
126.7,103.9,0
122.8,156.8,0
131.5,173.0,0
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
95.800003,117.5,2
97.919998,86.980003,2
84.300003,121.44,2
57.799999,72.260002,1
47.599998,,1
,,1
54.0,,1
,,1
,,1
,84.339996,1
,,1
,,1
,,1
,,1
40.0,70.279999,1
,,1
36.599998,,1
68.599998,,1
93.0,83.479996,1
,,1
81.400002,81.199997,1
41.0,69.400002,1
,,1
,,1
44.799999,90.519997,1
,,1
,,1
,,1
,,1
,,1
47.0,86.559998,1
,,1
69.199997,98.919998,1
62.799999,73.82,1
